rank|album_id|song_id|song_title|artist_name|artist_id
1|10294763|31854442|솔직하게 말해서 나|김나영|735094
2|10297571|31870517|술이 문제야|장혜진|5675
3|10137250|31029291|2002|Anne-Marie|870307
4|10207131|31324607|사랑에 연습이 있었다면 (Prod. 2soo)|임재현|2087273
5|10286309|31804010|너에게 못했던 내 마지막 말은|다비치|236815
6|10296510|31864770|서울 밤 (feat. 빈지노)|어반자카파|420527
7|10267565|31701428|bad guy|Billie Eilish|1239008
8|10273641|31737197|작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)|방탄소년단|672375
9|10292330|31841027|누구 없소 (NO ONE) (Feat. B.I of iKON)|이하이|646171
10|10288448|31815967|"Speechless (Full) (From ""Aladdin""/Soundtrack Version)"|Naomi Scott|541364
11|10283614|31788850|니 소식|송하예|722098
12|10260858|31666417|주저하는 연인들을 위해|잔나비|772253
13|10276861|31754579|FANCY|TWICE (트와이스)|905701
14|10290621|31829536|사랑이 식었다고 말해도 돼|먼데이 키즈 (Monday Kiz)|175155
15|10264375|31684636|노래방에서|장범준|648551
16|10281385|31777113|Goodbye|박효신|1191
17|10265079|31688205|사계 (Four Seasons)|태연 (TAEYEON)|236797
18|10297980|31872859|짐살라빔 (Zimzalabim)|Red Velvet (레드벨벳)|780066
19|10237420|31524320|그때가 좋았어|케이시 (Kassy)|858125
20|10268898|31709523|나만, 봄|볼빨간사춘기|792022
21|10288448|31815962|"A Whole New World (From ""Aladdin""/Soundtrack Version)"|Mena Massoud|2644426
22|10268441|31706215|사월이 지나면 우리 헤어져요 (Beautiful goodbye)|첸 (CHEN)|715176
23|10285396|31798464|AH YEAH (아예)|WINNER|775197
24|10238710|31532642|사계 (하루살이)|엠씨더맥스 (M.C the MAX)|161636
25|10291606|31835421|대충 입고 나와|우디 (Woody)|673033
26|10295207|31856628|아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)|기리보이|585492
27|10217134|31388145|너를 만나|폴킴|752425
28|10149492|30962526|모든 날, 모든 순간 (Every day, Every Moment)|폴킴|752425
29|10270288|31717822|Kill This Love|BLACKPINK|995169
30|10209752|31341518|Paris in the Rain|Lauv|1956543
31|10238711|31532656|옥탑방 (Rooftop)|엔플라잉 (N.Flying)|861430
32|10250473|31606729|달라달라|ITZY (있지)|2622030
33|10296482|31864628|BIRTHDAY|전소미|968260
34|10268898|31709524|별 보러 갈래?|볼빨간사춘기|792022
35|10288336|31815490|교통정리 (Feat. 헤이즈)|기리보이|585492
36|10238710|31532643|넘쳐흘러|엠씨더맥스 (M.C the MAX)|161636
37|10238683|31532438|벌써 12시|청하|968265
38|10264375|31684634|당신과는 천천히|장범준|648551
39|10273641|31737198|소우주 (Mikrokosmos)|방탄소년단|672375
40|10294603|31853557|오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)|마크툽 (MAKTUB)|566431
41|10283605|31788828|돈 Call Me (Prod.BRLLNT)|염따|202530
42|10267222|31699965|진심이 담긴 노래 (True Song)|케이시 (Kassy)|858125
43|10037969|30244931|봄날|방탄소년단|672375
44|10259010|31655897|오늘 밤에|홍진영|418700
45|10179508|31151836|Way Back Home|숀 (SHAUN)|510242
46|10245121|31576009|이 노래가 클럽에서 나온다면|우디 (Woody)|673033
47|10203965|31304766|이별하러 가는 길|임한별|471741
48|10286209|31803557|비가 오잖아|소유 (SOYOU)|490981
49|10262378|31674786|그건 아마 우리의 잘못은 아닐 거야|백예린 (Yerin Baek)|698776
50|10197480|31266290|IDOL|방탄소년단|672375
