rank|album_id|song_id|song_title|artist_name|artist_id
1|32695|485716|정말 사랑했을까|브라운 아이드 소울|107728
2|33910|511798|어쩌다..|윤건|14801
3|32940|490059|태양을 피하는 방법 (Gtr.Remix)|비|17671
4|32949|490173|차마...|성시경|3305
5|32840|488135|애송이 (CF - 써니텐)|렉시|7664
6|32544|482651|다시 만난 날|휘성 (Realslow)|10577
7|33012|492268|Music|바다 (BADA)|1605
8|32952|490201|잊었니|현승민-H|8054
9|32552|482795|여전히 입술을 깨물죠|이수영|995
10|32693|485687|사랑하기 때문에|왁스|2267
11|32946|490105|Double|보아 (BoA)|2165
12|33843|510795|Piece Of My Wish|해이|3310
13|32783|487292|사랑했어요|이기찬|6225
14|33029|492481|She's Mine|박효신|1191
15|33018|492346|Ghost School|이브|100126
16|32843|488158|아직은 사랑할 때|조장혁|5973
17|32210|476521|사랑할 거야|YB (윤도현 밴드)|100168
18|32961|490332|떠나버려|BMK|36142
19|32679|485444|Love Letter (언약)|투샤이|107724
20|33000|492075|Can You Tell Me...?|박화요비|2017
21|32393|480367|내일 해|이정(J.Lee)|39256
22|32654|484862|달빛소년|체리필터 (cherryfilter)|101491
23|32477|481446|Oasis|김경호|895
24|32808|487702|기억이... 눈물이... (Vocal : 조대연)|정지찬|8545
25|32015|473441|습관|플라이 투 더 스카이|100183
26|32584|483377|내 안의 그대|서영은|3033
27|515351|2101649|만취 In Melody|은지원|1682
28|27516|420534|체념|빅마마|105803
29|32681|485458|인형의 꿈|러브홀릭|106718
30|32657|484910|미소|백지영|1118
31|32752|486743|I Swear|S (강타, 신혜성, 이지훈)|107744
32|32463|481205|Hey Girl|이효리|1713
33|317309|1183921|돌아와 제발|JK 김동욱|20379
34|32754|486764|스웨터||102776
35|31187|455209|아직 못다한 이야기 (Feat. BMK)|김진표|1136
36|32858|488425|알아요|KCM|45995
37|40235|608101|Be My Love|쥬얼리|101487
38|32856|488408|다만...|Chrischan|3869
39|30724|445414|가끔씩 눈물이 나죠|팀|33614
40|32405|480667|Chiki Chiki-Love Song|여행스케치|100712
41|31739|466093|고양이|넬 (NELL)|101094
42|32557|482907|난 너에게 (To You)|샤크라|100068
43|31697|465286|안녕|박혜경|1790
44|31121|454476|하늘을 달리다|이적|1088
45|32416|480998|Without Your Love|제이티엘(JTL)|101448
46|313997|1110715|유리 (唯俚 - 비록 슬퍼진다 하더라도)|김정훈|1103
47|31296|456856|Fly High (Feat. 정인, 하림(河琳))|리쌍|103289
48|318637|1199560|Street Life (Feat. Big Mama & Ill Skillz)|DJ DOC|100005
49|32068|473193|그놈의 결혼식|김현정|1177
50|32750|486716|진(珍)|조용필|19
