rank|album_id|song_id|song_title|artist_name|artist_id
1|2259140|4671151|눈, 코, 입|태양|247621
2|2260223|4681146|한여름밤의 꿀|San E (산이)|402526
3|2258044|4660909|사람냄새|정인|35989
4|2261073|4688375|Maroon 5||107721
5|2255589|4639518|너를 너를 너를|플라이 투 더 스카이|100183
6|2259461|4674167|헤어졌다 만났다|다비치|236815
7|2260842|4686392|Good Luck|비스트|436981
8|2258516|4665220|나 왜이래 (Feat. 강민희 Of 미스에스)|San E (산이)|402526
9|2260899|4686952|집이 돼줄게|범키|623851
10|2261121|4688674|Summer Time (자리비움)|다이나믹 듀오|108358
11|2256290|4645220|나의 옛날이야기|아이유|261143
12|2251373|4603433|너를 원해 (Feat. Beenzino)|정기고|304967
13|2256290|4646573|너의 의미 (Feat. 김창완)|아이유|261143
14|2259800|4677133|이젠 아니야|비스트|436981
15|2261322|4691117|니가 빈 자리|신용재 (2F)|510537
16|2254734|4633162|중독 (Overdose)|EXO-K|625511
17|2248659|4579468|봄 사랑 벚꽃 말고|HIGH4 (하이포)|767374
18|2255094|4635740|Good-night Kiss|전효성|672325
19|2258646|4666402|사랑하는 그대여|신용재 (2F)|510537
20|2244822|4543502|야생화|박효신|1191
21|2246854|4562881|Mr. Chu (On Stage)|Apink (에이핑크)|534360
22|2259485|4674336|사랑했으니..됐어|거미 (GUMMY)|30358
23|2230890|4433490|썸 (Feat. 릴보이 Of 긱스)|소유 (SOYOU)|490981
24|2249127|4583482|200%|AKMU (악뮤)|712452
25|2259487|4674344|Hug Me (Feat. Gaeko)|Crush|674710
26|2258502|4665107|내가 할 수 없는 말 (Feat. 나비)|정키|570731
27|2255086|4635701|미운오리새끼|god|100007
28|2249449|4586092|너 사용법|에디킴|601979
29|2222587|4369827|금요일에 만나요 (Feat. 장이정 Of HISTORY)|아이유|261143
30|2261505|4692825|팔베개|다비치|236815
31|2258762|4667457|사랑 그 한마디|태연 (TAEYEON)|236797
32|2259140|4671153|Stay With Me (Feat. G-Dragon Of Bigbang)|태양|247621
33|2255565|4639335|Night And Day|휘성 (Realslow)|10577
34|2256290|4646572|사랑이 지나가면|아이유|261143
35|2249074|4582959|윤민수(바이브)|신용재 (2F)|510537
36|2249127|4583481|Give Love|AKMU (악뮤)|712452
37|2259140|4671152|새벽한시 (1AM)|태양|247621
38|2242936|4527879|감아 (Feat. Crush)|로꼬|688432
39|2260645|4684703|Black (Feat. 스윙스)|40|542340
40|2240082|4503810|까탈레나 (Catallena)|오렌지 캬라멜|477632
41|2244913|4544242|그 중에 그대를 만나|이선희|966
42|2248665|4579474|견딜만해 (Feat. 효린 Of 씨스타)|매드클라운|219621
43|2257574|4656602|여전히 뜨겁게|백지영|1118
44|2261230|4690053|바라만 보네요|손승연|661773
45|2236445|4478187|Come Back Home|2NE1|406712
46|2256907|4650421|이젠 너 없이도 (Feat. 윤미래, 타이거 JK, Bizzy)|유나킴|770522
47|2256070|4643439|봄 타나봐 (BOMTANABA)|서인국|436700
48|2261569|4693165|단발머리 (Short Hair)|AOA|686920
49|2256759|4649342|Last Romeo|인피니트|476181
50|2250420|4594680|요즘 바쁜가봐|2BIC(투빅)|643551
