rank|album_id|song_id|song_title|artist_name|artist_id
1|11127145|35945927|Ditto|NewJeans|3114174
2|11127145|35985167|OMG|NewJeans|3114174
3|11011565|35454426|Hype Boy|NewJeans|3114174
4|10903868|34819473|사건의 지평선|윤하 (YOUNHA)|203912
5|11146937|36034936|VIBE (feat. Jimin of BTS)|태양|247621
6|11078496|35729104|ANTIFRAGILE|LE SSERAFIM (르세라핌)|3092950
7|11011565|35454425|Attention|NewJeans|3114174
8|11034298|35546497|After LIKE|IVE (아이브)|3055146
9|11124139|35931532|Candy|NCT DREAM|1066419
10|11078852|35730562|Nxde|(여자)아이들|2137482
11|11125247|35937396|NOT SORRY (Feat. pH-1) (Prod. by Slom)|이영지|2636153
12|10909179|34847378|LOVE DIVE|IVE (아이브)|3055146
13|11158153|36078777|Sugar Rush Ride|투모로우바이투게더|2632253
14|11057545|35643794|Monologue|테이|51893
15|11045985|35595136|새삥 (Prod. ZICO) (Feat. 호미들)|지코 (ZICO)|602056
16|2232505|4446485|너의 모든 순간|성시경|3305
17|11011565|35485544|Cookie|NewJeans|3114174
18|10844485|35640751|I Don't Think That I Like Her|Charlie Puth|838654
19|11146628|36033536|마지막 사랑|신예영|2740042
20|10871162|34657844|사랑인가 봐|멜로망스|839732
21|10975276|35252996|해요 (2022)|#안녕|1024489
22|10735654|34061322|사랑은 늘 도망가|임영웅|994944
23|11033394|35640077|Shut Down|BLACKPINK|995169
24|11121346|35920493|그대를 알고|송하예|722098
25|11115007|35888871|마이웨이 (MY WAY) (Prod. R.Tee)|저스디스 (JUSTHIS)|786499
26|11128774|35953611|Say I Love You|우디 (Woody)|673033
27|11062364|35665282|Rush Hour (Feat. j-hope of BTS)|Crush|674710
28|11033394|35542908|Pink Venom|BLACKPINK|995169
29|10890384|34754292|TOMBOY|(여자)아이들|2137482
30|11115359|35890454|잘가요|주호|683631
31|10897407|34787226|내가 아니라도|주호|683631
32|11000171|35383397|그때 그 순간 그대로 (그그그)|WSG워너비 (가야G)|3110856
33|10939458|35009233|FEARLESS|LE SSERAFIM (르세라핌)|3092950
34|10816959|34431086|취중고백|김민석|839736
35|11154383|36062700|네가 보고 싶은 건 자연스러운 거겠지|신예영|2740042
36|11130072|35958308|그댄 행복에 살텐데 (2022)|최유리|2645970
37|10995477|35361345|그라데이션|10CM|468244
38|10925762|34927767|정이라고 하자 (Feat. 10CM)|BIG Naughty (서동현)|2744750
39|11067591|35685439|자격지심 (Feat. ZICO)|BE'O (비오)|2758756
40|10844485|34864406|That's Hilarious|Charlie Puth|838654
41|11149970|36046168|니 번호가 뜨는 일|이예준|718655
42|11063205|35668899|딱 10CM만|10CM|468244
43|10610525|33496587|다정히 내 이름을 부르면|경서예지|2863470
44|10798794|34349913|ELEVEN|IVE (아이브)|3055146
45|10149492|30962526|모든 날, 모든 순간 (Every day, Every Moment)|폴킴|752425
46|11106209|35849863|Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)|정국|725987
47|10929486|34943312|나의 X에게|경서|994005
48|10778556|34270805|오르트구름|윤하 (YOUNHA)|203912
49|11158641|36079879|Ay-Yo|NCT 127|991413
50|11148251|36040619|사랑해도 될까요|양다일|695994
